name	type	units	description	sampling_frequency	signal_electrode	reference	group	target_muscle	interelectrode_distance	grid_name	low_cutoff	high_cutoff	status	gain
Ch01	EMG	uV	ElectroMyoGraphy	2048.0	E1	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch02	EMG	uV	ElectroMyoGraphy	2048.0	E2	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch03	EMG	uV	ElectroMyoGraphy	2048.0	E3	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch04	EMG	uV	ElectroMyoGraphy	2048.0	E4	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch05	EMG	uV	ElectroMyoGraphy	2048.0	E5	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch06	EMG	uV	ElectroMyoGraphy	2048.0	E6	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch07	EMG	uV	ElectroMyoGraphy	2048.0	E7	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch08	EMG	uV	ElectroMyoGraphy	2048.0	E8	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch09	EMG	uV	ElectroMyoGraphy	2048.0	E9	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch10	EMG	uV	ElectroMyoGraphy	2048.0	E10	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch11	EMG	uV	ElectroMyoGraphy	2048.0	E11	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch12	EMG	uV	ElectroMyoGraphy	2048.0	E12	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch13	EMG	uV	ElectroMyoGraphy	2048.0	E13	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch14	EMG	uV	ElectroMyoGraphy	2048.0	E14	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch15	EMG	uV	ElectroMyoGraphy	2048.0	E15	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch16	EMG	uV	ElectroMyoGraphy	2048.0	E16	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch17	EMG	uV	ElectroMyoGraphy	2048.0	E17	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch18	EMG	uV	ElectroMyoGraphy	2048.0	E18	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch19	EMG	uV	ElectroMyoGraphy	2048.0	E19	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch20	EMG	uV	ElectroMyoGraphy	2048.0	E20	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch21	EMG	uV	ElectroMyoGraphy	2048.0	E21	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch22	EMG	uV	ElectroMyoGraphy	2048.0	E22	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch23	EMG	uV	ElectroMyoGraphy	2048.0	E23	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch24	EMG	uV	ElectroMyoGraphy	2048.0	E24	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch25	EMG	uV	ElectroMyoGraphy	2048.0	E25	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch26	EMG	uV	ElectroMyoGraphy	2048.0	E26	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch27	EMG	uV	ElectroMyoGraphy	2048.0	E27	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch28	EMG	uV	ElectroMyoGraphy	2048.0	E28	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch29	EMG	uV	ElectroMyoGraphy	2048.0	E29	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch30	EMG	uV	ElectroMyoGraphy	2048.0	E30	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch31	EMG	uV	ElectroMyoGraphy	2048.0	E31	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch32	EMG	uV	ElectroMyoGraphy	2048.0	E32	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch33	EMG	uV	ElectroMyoGraphy	2048.0	E33	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch34	EMG	uV	ElectroMyoGraphy	2048.0	E34	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch35	EMG	uV	ElectroMyoGraphy	2048.0	E35	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch36	EMG	uV	ElectroMyoGraphy	2048.0	E36	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch37	EMG	uV	ElectroMyoGraphy	2048.0	E37	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch38	EMG	uV	ElectroMyoGraphy	2048.0	E38	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch39	EMG	uV	ElectroMyoGraphy	2048.0	E39	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch40	EMG	uV	ElectroMyoGraphy	2048.0	E40	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch41	EMG	uV	ElectroMyoGraphy	2048.0	E41	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch42	EMG	uV	ElectroMyoGraphy	2048.0	E42	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch43	EMG	uV	ElectroMyoGraphy	2048.0	E43	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch44	EMG	uV	ElectroMyoGraphy	2048.0	E44	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch45	EMG	uV	ElectroMyoGraphy	2048.0	E45	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch46	EMG	uV	ElectroMyoGraphy	2048.0	E46	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch47	EMG	uV	ElectroMyoGraphy	2048.0	E47	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch48	EMG	uV	ElectroMyoGraphy	2048.0	E48	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch49	EMG	uV	ElectroMyoGraphy	2048.0	E49	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch50	EMG	uV	ElectroMyoGraphy	2048.0	E50	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch51	EMG	uV	ElectroMyoGraphy	2048.0	E51	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch52	EMG	uV	ElectroMyoGraphy	2048.0	E52	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch53	EMG	uV	ElectroMyoGraphy	2048.0	E53	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch54	EMG	uV	ElectroMyoGraphy	2048.0	E54	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch55	EMG	uV	ElectroMyoGraphy	2048.0	E55	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch56	EMG	uV	ElectroMyoGraphy	2048.0	E56	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch57	EMG	uV	ElectroMyoGraphy	2048.0	E57	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch58	EMG	uV	ElectroMyoGraphy	2048.0	E58	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch59	EMG	uV	ElectroMyoGraphy	2048.0	E59	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch60	EMG	uV	ElectroMyoGraphy	2048.0	E60	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch61	EMG	uV	ElectroMyoGraphy	2048.0	E61	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch62	EMG	uV	ElectroMyoGraphy	2048.0	E62	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch63	EMG	uV	ElectroMyoGraphy	2048.0	E63	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
Ch64	EMG	uV	ElectroMyoGraphy	2048.0	E64	ChannelSpecific	Grid1	Biceps Brachii	8.0	GR08MM1305	n/a	n/a	good	n/a
